code,filename,group,use,size,prompt,negative,notes
IMG-BRAND-001,brand-cover-last-horizon.webp,Marca,Capa e divulgação,2560x1440,"Earth seen from high orbit at night with widespread climate disasters and city blackouts, colossal interstellar ark under construction in orbital drydock, hopeful distant star, centered cinematic composition, clean lower-left safe area, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-BRAND-002,splash-last-horizon.webp,Marca,Splash PWA vertical,1290x2796,"vertical composition, luminous Earth fading into darkness below, gigantic ark spacecraft rising toward a distant habitable world, dramatic negative space in upper third for logo, elegant premium mobile splash, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-BRAND-003,og-last-horizon.webp,Marca,Prévia social,1200x630,"wide mission control silhouettes facing panoramic windows, ark spacecraft leaving Earth, focal center and clean right-side title safe area, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-BRAND-004,app-icon-background.webp,Marca,Base do ícone,1024x1024,"simple iconic circular orbital horizon around a small ark silhouette, luminous cyan arc over deep navy, bold readable shape at small scale, no text, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-BRAND-005,bg-main-menu-earth-orbit.webp,Marca,Menu principal,2560x1440,"view from observation window toward damaged Earth and orbital construction docks, quiet solemn atmosphere, left side darker for vertical menu, no cockpit instruments, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-BRAND-006,bg-loading-stellar-route.webp,Marca,Carregamento,2560x1440,"deep space navigation corridor, subtle star trails converging toward a distant blue planet, restrained minimal composition, center clear for loading indicator, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-001,bg-campaign-earth-collapse.webp,Campanha,Terra em colapso,2560x1440,"Earth from space with huge weather systems, continental fires and partial city blackouts, realistic restrained catastrophe, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-002,bg-campaign-emergency-summit.webp,Campanha,Cúpula global,2560x1440,"international crisis chamber, empty circular table, abstract climate projections without text, urgent atmosphere, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-003,bg-campaign-director-appointment.webp,Campanha,Nomeação,2560x1440,"government aerospace auditorium, empty podium, press lights, central safe area for character overlay, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-004,bg-campaign-public-address.webp,Campanha,Pronunciamento,2560x1440,"global broadcast studio, cameras and practical lighting, clean background for director avatar overlay, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
