code,filename,role,size,prompt,negative
AVT-DIR-001,avatar-director-neutral-01.webp,Diretor opção 1,1024x1024,"Brazilian male aerospace program director, age 35 to 45, calm authoritative expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-DIR-002,avatar-director-neutral-02.webp,Diretora opção 2,1024x1024,"Black Brazilian female aerospace program director, age 35 to 45, calm authoritative expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-DIR-003,avatar-director-neutral-03.webp,Diretor opção 3,1024x1024,"East Asian male aerospace program director, age 40 to 50, thoughtful expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-DIR-004,avatar-director-neutral-04.webp,Diretora opção 4,1024x1024,"South Asian female aerospace program director, age 30 to 40, focused expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-DIR-005,avatar-director-neutral-05.webp,Diretor opção 5,1024x1024,"Latino male aerospace program director, age 50 to 60, experienced expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-DIR-006,avatar-director-neutral-06.webp,Diretora opção 6,1024x1024,"Middle Eastern female aerospace program director, age 40 to 50, resilient expression, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-ENG-001,avatar-chief-engineer.webp,Engenheira-chefe,1024x1024,"Black female chief systems engineer, age 45, intelligent, direct and composed, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-FLT-001,avatar-flight-director.webp,Diretor de voo,1024x1024,"Latino male flight director, age 50, disciplined and analytical, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-CMD-001,avatar-ship-commander.webp,Comandante,1024x1024,"female spacecraft commander, age 42, mixed heritage, calm under pressure, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-PIL-001,avatar-pilot.webp,Piloto,1024x1024,"East Asian male pilot navigator, age 34, alert and precise, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-ENG-002,avatar-flight-engineer.webp,Engenheiro de bordo,1024x1024,"White male flight engineer, age 38, practical and tired but reliable, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
AVT-MED-001,avatar-medical-officer.webp,Médica,1024x1024,"South Asian female medical officer, age 37, empathetic and decisive, ultra-realistic professional near-future aerospace portrait, neutral dark studio background, chest-up, centered, consistent uniform without logos, soft cinematic light, no text, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD"
